Date,Open,High,Low,Close,Adj Close,Volume
2023-11-13,5.708606,5.876170,5.364660,5.368368,5.368368,330915168
2023-11-14,5.367783,5.515988,5.065764,5.202727,5.202727,287416833
2023-11-15,5.202481,5.631501,5.200840,5.566057,5.566057,273974492
2023-11-16,5.566462,5.784719,5.314825,5.358422,5.358422,348858975
2023-11-17,5.358032,5.479098,5.087365,5.242203,5.242203,255997486
2023-11-18,5.242760,5.292086,5.024771,5.291220,5.291220,189841324
2023-11-19,5.291365,5.479985,5.193369,5.444248,5.444248,187907209
2023-11-20,5.444134,5.559099,5.292699,5.304598,5.304598,217195343
2023-11-21,5.304758,5.326883,4.855858,4.889389,4.889389,285788399
2023-11-22,4.888024,5.278530,4.870287,5.172865,5.172865,208993295
2023-11-23,5.172650,5.216655,5.096880,5.133638,5.133638,122906505
2023-11-24,5.133674,5.288729,5.127063,5.243342,5.243342,193231709
2023-11-25,5.242917,5.381474,5.230508,5.330086,5.330086,124787041
2023-11-26,5.330139,5.407458,5.205002,5.325129,5.325129,170218507
2023-11-27,5.324221,5.366930,5.049296,5.161478,5.161478,203213671
2023-11-28,5.161148,5.308377,5.116793,5.270678,5.270678,187192411
2023-11-29,5.270658,5.370062,5.160088,5.168089,5.168089,184196011
2023-11-30,5.168111,5.567933,5.128606,5.465794,5.465794,282346044
2023-12-01,5.466083,5.516275,5.379859,5.475040,5.475040,153997357
2023-12-02,5.474731,5.597386,5.458980,5.573881,5.573881,128776781
2023-12-03,5.573408,5.608565,5.443554,5.546575,5.546575,152613977
2023-12-04,5.546394,5.716184,5.490693,5.626327,5.626327,276026759
2023-12-05,5.626980,5.932799,5.521040,5.911572,5.911572,349322266
2023-12-06,5.910769,6.194783,5.815013,6.043326,6.043326,391203869
2023-12-07,6.044444,6.285831,5.931617,6.246666,6.246666,302450588
2023-12-08,6.246943,6.901350,6.182972,6.839679,6.839679,413408879
2023-12-09,6.839935,7.670611,6.839935,7.117620,7.117620,712895503
2023-12-10,7.117362,7.341575,6.987498,7.341575,7.341575,319835932
